timestamp,namespace,pod,node,cpu_usage,cpu_limit,cpu_request,cpu_throttling,memory_usage,memory_limit,memory_request,memory_rss,network_receive_bytes,network_transmit_bytes,network_errors,restarts,oom_killed,pod_ready,pod_phase,disk_read_bytes,disk_write_bytes,disk_io_errors,pod_scheduled,pod_pending,pod_unschedulable,container_running,container_terminated,container_waiting,pod_uptime_seconds,cpu_utilization_ratio,memory_utilization_ratio,CPU Throttling,High CPU Usage,OOMKilled (Out of Memory),CrashLoopBackOff,ContainerNotReady,PodUnschedulable,NodePressure,ImagePullFailure
2025-04-13T17:12:09.607653,litmus,chaos-litmus-frontend-85df7cd5b-fgzvj,clusterbusters-control-plane,0.5130562744729754,0.55,0.125,0.0,8445952.0,536870912.0,157286400.0,3825664.0,12274.749318321752,1292.2933708622863,0.0,0.0,0.0,1.0,0.0,14374.219783584205,447.4219863554509,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2737.3689999580383,0.00505046021941275,0.0157318115234375,0,0,0,0,0,0,0,0
2025-04-13T17:12:09.607653,litmus,chaos-litmus-server-58984f6889-s8d6h,clusterbusters-control-plane,5.3584437449680165,0.55,0.225,0.0,82538496.0,746586112.0,262144000.0,42336256.0,14865.42661697818,12390.330928199179,0.0,0.0,0.0,1.0,0.0,156703.61245435046,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2737.792999982834,0.053551102757116865,0.11055455582865169,0,0,0,0,0,0,0,0
2025-04-13T17:12:09.607653,litmus,chaos-mongodb-0,clusterbusters-control-plane,6.049521163450214,0.0,0.0,0.0,301010944.0,0.0,0.0,192323584.0,3153.8704837001296,16295.54916441097,0.0,0.0,0.0,1.0,0.0,282147.4183904896,22512.05259517509,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2734.0920000076294,0.48348741164078823,301010944.0,0,0,0,0,0,0,0,0
2025-04-13T17:12:09.607653,litmus,chaos-mongodb-1,clusterbusters-control-plane,6.217118424952029,0.0,0.0,0.0,293134336.0,0.0,0.0,194916352.0,2669.471819744556,3161.5796835159936,0.0,0.0,0.0,1.0,0.0,285967.3797273007,20806.440715460234,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2677.348999977112,0.4971688300503614,293134336.0,0,0,0,0,0,0,0,0
2025-04-13T17:12:09.607653,litmus,chaos-mongodb-2,clusterbusters-control-plane,5.8513690273860455,0.0,0.0,0.0,402104320.0,0.0,0.0,296767488.0,2345.016595660024,2753.6955114821685,0.0,0.0,0.0,1.0,0.0,264752.76068437577,20180.65953331856,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2659.890000104904,0.4676750795987496,402104320.0,0,0,0,0,0,0,0,0
2025-04-13T17:12:09.607653,litmus,chaos-mongodb-arbiter-0,clusterbusters-control-plane,1.1771559621215089,0.0,0.0,0.0,189243392.0,0.0,0.0,164929536.0,1678.3159355343407,1920.490465722973,0.0,0.0,0.0,1.0,0.0,3945.185855509079,8392.900925922768,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2739.9660000801086,0.0945253898487933,189243392.0,0,0,0,0,0,0,0,0
2025-04-13T17:12:09.607653,litmus,chaos-operator-ce-856fffc4fd-4ptjk,clusterbusters-control-plane,14.869941730995262,0.225,0.125,0.0,78356480.0,524288000.0,314572800.0,43167744.0,9222.840136315102,1197.3231188070883,0.0,2.0,0.0,1.0,0.0,64248.78859385138,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2370.6070001125336,0.14652255997919397,0.149453125,0,0,0,1,0,0,0,0
2025-04-13T17:12:09.607653,litmus,event-tracker-67577b47d8-9rhxq,clusterbusters-control-plane,4.603060903970739,0.225,0.125,0.0,40865792.0,524288000.0,314572800.0,28880896.0,1887.2889753962984,94.28399924700668,0.0,0.0,0.0,1.0,0.0,11051.975870130205,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2371.7690000534058,0.047182326365881155,0.0774921875,0,0,0,0,0,0,0,0
2025-04-13T17:12:09.607653,litmus,pod-alert-chaos-1744544475642-3093696036,clusterbusters-control-plane,0.08230523958333333,0.0,0.0,0.0,,0.0,0.0,,5352.8,585.2583333333333,0.0,0.0,0.0,1.0,0.0,316651.52,88.74666666666667,0.0,1.0,0.0,0.0,0.0,1.0,0.0,67.37400007247925,0.006584419166666667,0.0,0,0,0,0,0,0,0,0
2025-04-13T17:12:09.607653,litmus,pod-alert-chaos-1744544475642-817053828,clusterbusters-control-plane,0.013481908628613603,0.0,0.0,0.0,74534912.0,0.0,0.0,30732288.0,380.07621077599333,49.90702223963093,0.0,,0.0,,,2205.8877242459853,0.0,0.0,,,0.0,,,,,0.0011197185398785752,74534912.0,0,0,0,0,0,0,0,0
