timestamp,namespace,pod,node,cpu_usage,cpu_limit,cpu_request,cpu_throttling,memory_usage,memory_limit,memory_request,memory_rss,network_receive_bytes,network_transmit_bytes,network_errors,restarts,oom_killed,pod_ready,pod_phase,disk_read_bytes,disk_write_bytes,disk_io_errors,pod_scheduled,pod_pending,pod_unschedulable,container_running,container_terminated,container_waiting,pod_uptime_seconds,cpu_utilization_ratio,memory_utilization_ratio,CPU Throttling,High CPU Usage,OOMKilled (Out of Memory),CrashLoopBackOff,ContainerNotReady,PodUnschedulable,NodePressure,ImagePullFailure,network_receive_MBps,network_transmit_MBps,disk_read_MBps,disk_write_MBps,alert_score,alert
2025-04-13T17:12:45.984390,litmus,pod-cpu-hog-p8mh4ntj-runner,clusterbusters-control-plane,0.0499406627555999,0.0,0.0,0.0,46522368.0,0.0,0.0,19394560.0,809.5625000000001,140.26250000000002,0.0,0.0,0.0,1.0,0.0,104942.9819172444,37.20691377381448,0.0,1.0,0.0,0.0,1.0,0.0,0.0,50.99300003051758,0.0040053547417052,46522368.0,0,0,0,0,0,0,0,0,1.5140489151718546e-05,2.6231981590586553e-06,0.001962650294779012,6.958460580392068e-07,2,alert
2025-04-13T17:12:45.984390,litmus,pod-cpu-hog-u21y12-kkh4r,clusterbusters-control-plane,0.0681121856855523,0.0,0.0,0.0,62685184.0,0.0,0.0,24657920.0,816.3727677649192,90.0996033854002,0.0,0.0,0.0,1.0,0.0,161150.64039844324,37.331237333188184,0.0,1.0,0.0,0.0,1.0,0.0,0.0,49.282999992370605,0.0054672203009124,62685184.0,0,0,0,0,0,0,0,0,1.5797612591591702e-05,1.7435155668353742e-06,0.0031184227186698546,7.223960036896935e-07,2,alert
2025-04-13T17:12:45.984390,monitoring,prometheus-kube-prometheus-operator-565cbd8649-2kd49,clusterbusters-control-plane,0.3120506546080711,0.0,0.0,0.0,97746944.0,0.0,0.0,49512448.0,735.715995379444,901.636273445332,0.0,1.0,0.0,1.0,0.0,230170.83826160312,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2841.430000066757,0.0249640523686456,97746944.0,0,0,0,0,0,0,0,0,2.469296969998032e-07,3.0261782155634795e-07,7.7252656877217e-05,0.0,2,alert
2025-04-13T17:12:45.984390,pod-delete-ns,pod-delete-8595bc4b44-4bcwf,clusterbusters-control-plane,0.0,0.0,0.0,0.0,14635008.0,0.0,0.0,12009472.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1875.6719999313352,0.0,14635008.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,alert
2025-04-13T17:13:10.310117,kube-system,kube-controller-manager-clusterbusters-control-plane,clusterbusters-control-plane,1.3887239012610673,0.0,0.2,0.0,161615872.0,0.0,0.0,122773504.0,14734.768795819828,44677.58709598319,0.0,2.0,0.0,1.0,0.0,356258.36201258714,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2888.598000049591,0.1110979121008853,161615872.0,0,0,0,0,0,0,0,0,4.864702723783777e-06,1.4750362401314056e-05,0.0001176191529075806,0.0,2,alert
2025-04-13T17:13:10.310117,kube-system,kube-scheduler-clusterbusters-control-plane,clusterbusters-control-plane,0.9313072736239963,0.0,0.1,0.0,72695808.0,0.0,0.0,50864128.0,18495.35757293776,45421.83822321967,0.0,1.0,0.0,1.0,0.0,183072.47580625283,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2889.239000082016,0.0745045818899197,72695808.0,0,0,0,0,0,0,0,0,6.104911185803555e-06,1.4992750864921402e-05,6.0428202101789376e-05,0.0,2,alert
2025-04-13T17:13:10.310117,litmus,pod-alert-chaos-1744544475642-817053828,clusterbusters-control-plane,0.0315939553427195,0.0,0.0,0.0,62689280.0,0.0,0.0,35999744.0,493.93292827517087,61.221569267184854,0.0,0.0,0.0,1.0,0.0,193444.14858245425,384.02687045737,0.0,1.0,0.0,0.0,1.0,0.0,0.0,73.0789999961853,0.0025318090071324,62689280.0,0,0,0,0,0,0,0,0,6.4457798785964444e-06,7.989359217182515e-07,0.0025244285796438243,5.0115158004923615e-06,2,alert
2025-04-13T17:13:10.310117,litmus,pod-cpu-hog-helper-sf4s6,clusterbusters-control-plane,0.0592251229875656,0.0,0.0,0.0,60985344.0,0.0,0.0,15216640.0,269.9998173796166,45.54481650303881,0.0,0.0,0.0,1.0,0.0,427472.2133333333,823.7601225603181,0.0,1.0,0.0,0.0,1.0,0.0,0.0,53.28500008583069,0.0047387961229561,60985344.0,0,0,0,0,0,0,0,0,4.832352272770087e-06,8.151435051969467e-07,0.007650732291952064,1.474333997372636e-05,2,alert
2025-04-13T17:13:10.310117,litmus,pod-cpu-hog-p8mh4ntj-runner,clusterbusters-control-plane,0.0697881797310667,0.0,0.0,0.0,37879808.0,0.0,0.0,20787200.0,1215.0269898993174,213.86987694353024,0.0,0.0,0.0,1.0,0.0,138207.9890000396,30.926616767652764,0.0,1.0,0.0,0.0,1.0,0.0,0.0,70.51399993896484,0.0055911066881772,37879808.0,0,0,0,0,0,0,0,0,1.6432765621158233e-05,2.8925065784178263e-06,0.0018692090867853583,4.1827041623193295e-07,2,alert
2025-04-13T17:13:10.310117,litmus,pod-cpu-hog-u21y12-kkh4r,clusterbusters-control-plane,0.0974164333025162,0.0,0.0,0.0,35741696.0,0.0,0.0,26071040.0,1048.65,90.47055555555556,0.0,0.0,0.0,1.0,0.0,170569.73501064102,33.02306594423721,0.0,1.0,0.0,0.0,1.0,0.0,0.0,68.70099997520447,0.0078056197302056,35741696.0,0,0,0,0,0,0,0,0,1.4556856119421248e-05,1.255868841144642e-06,0.0023677672158276927,4.584103557644789e-07,2,alert
