timestamp,namespace,pod,node,cpu_usage,cpu_limit,cpu_request,cpu_throttling,memory_usage,memory_limit,memory_request,memory_rss,network_receive_bytes,network_transmit_bytes,network_errors,restarts,oom_killed,pod_ready,pod_phase,disk_read_bytes,disk_write_bytes,disk_io_errors,pod_scheduled,pod_pending,pod_unschedulable,container_running,container_terminated,container_waiting,pod_uptime_seconds,cpu_utilization_ratio,memory_utilization_ratio,CPU Throttling,High CPU Usage,OOMKilled (Out of Memory),CrashLoopBackOff,ContainerNotReady,PodUnschedulable,NodePressure,ImagePullFailure,predicted_label,prob_alert,prob_bad,prob_good
2025-04-29T18:04:05.805792,kube-system,coredns-668d6bf9bc-q4rhf,clusterbusters-control-plane,0.09526206770553439,0.0,0.1,0.0,50065408.0,178257920.0,73400320.0,45170688.0,168.51911619119454,232.30986252588292,0.0,0.0,0.0,1.0,0.0,9696.451158439111,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,20363.52800011635,0.022862896249328253,0.280859375,0,0,0,0,0,0,0,0,good,8.202729766883632e-27,5.238764398227272e-38,1.0
2025-04-29T18:04:05.805792,kube-system,coredns-668d6bf9bc-w4zxm,clusterbusters-control-plane,0.08655605356226033,0.0,0.1,0.0,62033920.0,178257920.0,73400320.0,49184768.0,179.54922690298736,246.59159756652795,0.0,0.0,0.0,1.0,0.0,34093.893278427386,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,20363.799000024796,0.020754919919145846,0.3480009191176471,0,0,0,0,0,0,0,0,good,7.9857082770303e-27,5.526614084094404e-38,1.0
2025-04-29T18:04:05.805792,kube-system,etcd-clusterbusters-control-plane,clusterbusters-control-plane,0.5281564697188941,0.0,0.1,0.0,161042432.0,0.0,104857600.0,145285120.0,4378.531241998943,32921.43387516392,0.0,0.0,0.0,1.0,0.0,99759.52817169066,86725.40256061443,0.0,1.0,0.0,0.0,1.0,0.0,0.0,20383.147000074387,0.1266139765987598,161042432.0,0,0,0,0,0,0,0,0,good,2.0732450781498e-29,0.0,1.0
2025-04-29T18:04:05.805792,kube-system,kindnet-fhpk6,clusterbusters-worker2,5.246383357015297,0.1,0.1,0.0,41496576.0,52428800.0,52428800.0,24649728.0,9966.790340136055,24780.02010563525,0.0,0.0,0.0,1.0,0.0,70706.4427937104,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,20371.486999988556,0.05246383357015297,0.791484375,0,0,0,0,0,0,0,0,good,1.0763309895915717e-24,1.336369190118527e-35,1.0
2025-04-29T18:04:05.805792,kube-system,kindnet-jdhk5,clusterbusters-control-plane,5.6468531693739425,0.1,0.1,0.0,44576768.0,52428800.0,52428800.0,25108480.0,4371.004440125226,32672.434413816896,0.0,0.0,0.0,1.0,0.0,75662.82761639438,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,20377.84400010109,0.05991970336514453,0.938671875,0,0,0,0,0,0,0,0,good,1.2920136469032748e-24,1.536310275508525e-35,1.0
2025-04-29T18:04:05.805792,kube-system,kindnet-st9wk,clusterbusters-worker,5.319839958365554,0.1,0.1,0.0,35057664.0,52428800.0,52428800.0,24477696.0,49351.70816929305,7718.494676900223,0.0,0.0,0.0,1.0,0.0,67387.04551999172,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,20371.09599995613,0.05315350704941612,0.668671875,0,0,0,0,0,0,0,0,good,1.2932808533398992e-24,1.7752843166249243e-35,1.0
2025-04-29T18:04:05.805792,kube-system,kube-apiserver-clusterbusters-control-plane,clusterbusters-control-plane,1.7083945414094515,0.0,0.25,0.0,1008447488.0,0.0,0.0,951459840.0,4519.833610880789,33229.21355360614,0.0,0.0,0.0,1.0,0.0,263354.0175136571,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,20384.41100001335,0.4100146899382684,1008447488.0,0,0,0,0,0,0,0,0,good,3.675575669104819e-27,2.554625591783081e-35,1.0
2025-04-29T18:04:05.805792,kube-system,kube-controller-manager-clusterbusters-control-plane,clusterbusters-control-plane,0.3768791066171769,0.0,0.2,0.0,174170112.0,0.0,0.0,126042112.0,4477.380257375458,33300.27614316464,0.0,0.0,0.0,1.0,0.0,209879.68023532035,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,20384.667000055313,0.09045098558812245,174170112.0,0,0,0,0,0,0,0,0,good,1.2196002833680285e-25,2.0799561802560858e-35,1.0
2025-04-29T18:04:05.805792,kube-system,kube-proxy-64868,clusterbusters-worker,0.02488814389054457,0.0,0.0,0.0,51830784.0,0.0,0.0,30629888.0,49242.3894877156,7667.610579948439,0.0,0.0,0.0,1.0,0.0,101676.5365399345,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,20371.888999938965,0.005973154533730695,51830784.0,0,0,0,0,0,0,0,0,good,1.6076862186103006e-23,2.3767308524332323e-31,1.0
2025-04-29T18:04:05.805792,kube-system,kube-proxy-rrklc,clusterbusters-worker2,0.019290833706310417,0.0,0.0,0.0,71651328.0,0.0,0.0,33013760.0,9934.75531050565,24887.443337499746,0.0,0.0,0.0,1.0,0.0,206739.31144594756,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,20373.150000095367,0.004629800089514502,71651328.0,0,0,0,0,0,0,0,0,good,1.9930051699933228e-23,2.3248645151919005e-31,1.0
