timestamp,namespace,pod,node,cpu_usage,cpu_limit,cpu_request,cpu_throttling,memory_usage,memory_limit,memory_request,memory_rss,network_receive_bytes,network_transmit_bytes,network_errors,restarts,oom_killed,pod_ready,pod_phase,disk_read_bytes,disk_write_bytes,disk_io_errors,pod_scheduled,pod_pending,pod_unschedulable,container_running,container_terminated,container_waiting,pod_uptime_seconds,cpu_utilization_ratio,memory_utilization_ratio,CPU Throttling,High CPU Usage,OOMKilled (Out of Memory),CrashLoopBackOff,ContainerNotReady,PodUnschedulable,NodePressure,ImagePullFailure,label,network_receive_MBps,network_transmit_MBps,disk_read_MBps,disk_write_MBps,alert_score,alert
2025-04-13T17:15:36.301792,pod-delete-ns,pod-delete-8595bc4b44-4bcwf,clusterbusters-control-plane,0.0,0.0,0.0,0.0,14635008.0,0.0,0.0,12009472.0,0.0,0.2456019704295227,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2039.417999982834,0.0,14635008.0,0,0,0,0,0,0,0,0,alert,0.0,1.1484859467719444e-10,0.0,0.0,2.0,alert
2025-04-13T16:42:20.212947,pod-cpu-hog-ns,pod-cpu-hog-exec-6765cf9bc5-2bn2d,clusterbusters-control-plane,0.0026452150106837,0.0,0.0,0.0,1085440.0,0.0,0.0,319488.0,1.277948717948718,2.785641025641026,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,248.60700011253357,0.0002116172008547,1085440.0,0,0,0,0,0,0,0,0,bad,4.902303110694041e-09,1.0685919140164542e-08,0.0,0.0,,
2025-04-13T18:26:45.741625,pod-dns-ns,pod-dns-error-b8755bb57-j7dk9,clusterbusters-control-plane,0.0,0.0,0.0,0.0,708608.0,0.0,0.0,90112.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6518.9909999370575,0.0,708608.0,0,0,0,0,0,0,0,0,good,,,,,,
2025-04-13T16:42:36.399908,monitoring,prometheus-kube-state-metrics-849c746cf5-88s5t,clusterbusters-control-plane,0.2421471149600219,0.0,0.0,0.0,51662848.0,0.0,0.0,39460864.0,8578.895031466222,21034.998783074305,0.0,0.0,0.0,1.0,0.0,52967.30541428066,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1025.2460000514984,0.0193496716765069,51662848.0,0,0,0,0,0,0,0,0,bad,7.98000855818366e-06,1.9566560692796695e-05,4.9269696034227744e-05,0.0,,
2025-04-13T16:42:52.767638,kube-system,kube-controller-manager-clusterbusters-control-plane,clusterbusters-control-plane,0.9866426746254036,0.0,0.2,0.0,179892224.0,0.0,0.0,135872512.0,521954.11879710306,99784.89266356236,0.0,0.0,0.0,1.0,0.0,261244.78279575123,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1070.25,0.0789041083271292,179892224.0,0,0,0,0,0,0,0,0,bad,0.0004651008992658,8.891594421732667e-05,0.0002327890115836,0.0,,
2025-04-13T16:48:30.770456,pod-network-ns,pod-network-latency-7544c98474-hj9m8,clusterbusters-control-plane,0.0,0.0,0.0,0.0,14880768.0,0.0,0.0,11943936.0,0.0,0.2493330341336923,0.0,0.0,0.0,1.0,0.0,0.0,230.8686017546231,0.0,1.0,0.0,0.0,1.0,0.0,0.0,627.875,0.0,14880768.0,0,0,0,0,0,0,0,0,bad,0.0,3.7870995163837577e-10,0.0,3.5066447295720797e-07,,
2025-04-13T16:40:37.440739,litmus,chaos-mongodb-2,clusterbusters-control-plane,3.838927473680906,0.0,0.0,0.0,222732288.0,0.0,0.0,186122240.0,2514.1540973683655,2900.604593219266,0.0,0.0,0.0,1.0,0.0,108249.4129274146,22379.73624712905,0.0,1.0,0.0,0.0,1.0,0.0,0.0,764.3320000171661,0.3071141978944725,222732288.0,0,0,0,0,0,0,0,0,bad,3.1369669071737134e-06,3.619149927702995e-06,0.0001350652398075,2.792370287565303e-05,,
2025-04-13T18:31:45.082421,kube-system,kindnet-zdd89,clusterbusters-control-plane,8.11087525769059,0.1,0.1,0.0,53727232.0,52428800.0,52428800.0,22290432.0,109303.62696899768,102062.59226877266,0.0,0.0,0.0,1.0,0.0,714723.7052722701,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7596.7190001010895,0.0811087525769059,1.024765625,0,0,0,0,0,0,0,0,good,,,,,,
2025-04-13T18:28:55.165042,litmus,pod-network-corruption-4jgdjlp5-runner,clusterbusters-control-plane,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,1.0,0.0,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3730.207999944687,0.0,0.0,0,0,0,0,0,0,0,0,good,,,,,,
2025-04-13T16:52:00.554350,pod-memory-hog-ns,pod-memory-hog-exec-c99f886bd-mth9p,clusterbusters-control-plane,0.0,0.0,0.0,0.0,888832.0,0.0,0.0,245760.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,133.2851254609878,0.0,1.0,0.0,0.0,1.0,0.0,0.0,848.7969999313354,0.0,888832.0,0,0,0,0,0,0,0,0,bad,0.0,0.0,0.0,1.4975382915044657e-07,,
